output_prefix	name	motif_id	cluster	total_tfbs	WT_mean_score	WT_bound	KI_mean_score	KI_bound	WT_KI_change	WT_KI_pvalue
MAFK_MA0496.2	MAFK	MA0496.2	C_MAFF	17214	0.2904	1843	0.29774	1981	-0.06967	6.89376E-101
OLIG1_MA0826.1	OLIG1	MA0826.1	C_Atoh1	4729	0.2281	295	0.22541	296	0.0228	4.39125E-22
ELF5_MA0136.2	ELF5	MA0136.2	C_ELF1	28286	0.40006	5015	0.4056	5195	-0.08802	7.49240E-116
NR3C2_MA0727.1	NR3C2	MA0727.1	C_NR3C1	9156	0.27511	849	0.279	906	-0.04392	7.97785E-64
NOTO_MA0710.1	NOTO	MA0710.1	C_PAX4	7869	0.23657	536	0.23184	529	0.06927	1.03408E-79
RUNX1_MA0002.2	RUNX1	MA0002.2	C_RUNX1	33262	0.29024	3583	0.29657	3780	-0.06823	3.49175E-109
NR2C2_MA0504.1	NR2C2	MA0504.1	C_NR2C2	26575	0.33293	3676	0.33126	3705	-0.00263	1.25313E-02
FOSL1JUNB_MA1137.1	FOSL1::JUNB	MA1137.1	C_FOSL1::JUN	29998	0.37292	5234	0.39218	5789	-0.1618	3.99479E-144
DLX6_MA0882.1	DLX6	MA0882.1	C_Dlx3	7725	0.24659	575	0.24414	549	0.03428	6.72519E-53
IRF3_MA1418.1	IRF3	MA1418.1	C_IRF3	30940	0.27155	2954	0.27162	2986	-0.00205	5.42598E-07
ZBED1_MA0749.1	ZBED1	MA0749.1	C_ZBED1	1611	0.42529	312	0.43079	326	-0.04242	4.94735E-32
MYBL1_MA0776.1	MYBL1	MA0776.1	C_MYBL1	2609	0.29322	283	0.29739	300	-0.05941	1.22794E-48
POU5F1B_MA0792.1	POU5F1B	MA0792.1	C_POU1F1	13453	0.23749	932	0.23824	977	-0.00102	8.98470E-02
NFE2_MA0841.1	NFE2	MA0841.1	C_FOSL1::JUN	19676	0.35554	3186	0.37197	3499	-0.14088	1.63330E-129
BACH2_MA1101.1	BACH2	MA1101.1	C_BACH2	33365	0.35656	5250	0.37036	5706	-0.12334	9.28408E-137
NFYA_MA0060.3	NFYA	MA0060.3	C_NFYB	13418	0.6922	4116	0.68918	4120	-0.00643	1.94484E-06
Mafb_MA0117.2	Mafb	MA0117.2	C_Mafb	17351	0.28527	1732	0.29191	1857	-0.05843	2.91246E-88
NEUROG2_MA0669.1	NEUROG2	MA0669.1	C_NEUROG2	10708	0.25409	848	0.254	878	0.00355	6.61434E-03
ZNF24_MA1124.1	ZNF24	MA1124.1	C_ZNF24	17916	0.24852	1395	0.24984	1442	-0.0074	2.61244E-15
LEF1_MA0768.1	LEF1	MA0768.1	C_LEF1	24641	0.23023	1616	0.22566	1592	0.06899	7.47281E-99
CREB3L1_MA0839.1	CREB3L1	MA0839.1	C_CREB3	7758	0.41451	1440	0.4161	1502	-0.03836	2.07620E-51
FOXH1_MA0479.1	FOXH1	MA0479.1	C_FOXH1	16146	0.25672	1384	0.25739	1407	0.00859	4.31041E-16
PROP1_MA0715.1	PROP1	MA0715.1	C_PHOX2A	11333	0.19852	540	0.1952	526	0.05468	4.84033E-81
E2F8_MA0865.1	E2F8	MA0865.1	C_E2F8	12390	0.3315	1701	0.32883	1719	0.02881	1.83886E-47
DBP_MA0639.1	DBP	MA0639.1	C_DBP	6117	0.32197	809	0.32491	828	-0.02943	2.54318E-46
LBX2_MA0699.1	LBX2	MA0699.1	C_GSX2	7183	0.26015	576	0.25538	557	0.05291	6.48222E-68
ZNF384_MA1125.1	ZNF384	MA1125.1	C_ZNF384	37961	0.21213	2193	0.21138	2238	0.01182	1.99895E-38
BARX1_MA0875.1	BARX1	MA0875.1	C_Nkx2-5	7889	0.26447	682	0.26133	659	0.03436	1.45174E-53
BARHL2_MA0635.1	BARHL2	MA0635.1	C_BARHL2	5292	0.24614	380	0.24528	392	0.03053	2.71839E-38
RFX5_MA0510.2	RFX5	MA0510.2	C_RFX2	10735	0.38255	1908	0.38846	1968	-0.08248	1.92897E-93
Gfi1b_MA0483.1	Gfi1b	MA0483.1	C_Gfi1b	25335	0.29302	2704	0.29328	2758	-0.00811	1.26276E-20
FOSL1JUNDvar.2_MA1143.1	FOSL1::JUND(var.2)	MA1143.1	C_FOSL2::JUND(var.2)	10861	0.44916	2322	0.45201	2368	-0.0535	1.40396E-73
Foxd3_MA0041.1	Foxd3	MA0041.1	C_Foxd3	35017	0.20781	1900	0.20633	1936	0.02728	9.89974E-75
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	25247	0.2856	2631	0.28684	2671	-0.00631	5.51047E-21
HOXD13_MA0909.1	HOXD13	MA0909.1	C_HOXD13	16967	0.22621	1061	0.22521	1078	0.01423	1.34398E-33
VAX2_MA0723.1	VAX2	MA0723.1	C_HOXB3	7110	0.20933	371	0.20478	359	0.06895	4.10606E-81
HOXA10_MA0899.1	HOXA10	MA0899.1	C_HOXA10	16354	0.21694	928	0.2146	920	0.031	6.69632E-61
Pax2_MA0067.1	Pax2	MA0067.1	C_Pax2	6933	0.41838	1352	0.42308	1378	-0.06386	3.73425E-77
Alx4_MA0853.1	Alx4	MA0853.1	C_Alx1	5954	0.23764	396	0.23166	377	0.07457	4.36341E-74
Hoxd3_MA0912.1	Hoxd3	MA0912.1	C_Hoxb5	10399	0.22659	652	0.22225	646	0.07083	1.37665E-87
Srebf1var.2_MA0829.1	Srebf1(var.2)	MA0829.1	C_USF2	6495	0.43976	1382	0.4408	1375	-0.02679	9.11544E-38
MEF2C_MA0497.1	MEF2C	MA0497.1	C_MEF2C	35935	0.23011	2436	0.23335	2584	-0.03042	2.37506E-76
ATF7_MA0834.1	ATF7	MA0834.1	C_FOSL2::JUND(var.2)	9183	0.46617	2106	0.46993	2137	-0.04515	6.02122E-67
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	21084	0.31766	2711	0.32209	2831	-0.0456	6.54120E-84
GCM2_MA0767.1	GCM2	MA0767.1	C_GCM2	6505	0.33892	922	0.33646	919	0.0112	7.17517E-14
MAXMYC_MA0059.1	MAX::MYC	MA0059.1	C_MNT	9571	0.37471	1616	0.37614	1632	-0.01926	3.25387E-35
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2C	15540	0.25066	1267	0.25783	1359	-0.07248	2.50122E-100
Bcl6_MA0463.1	Bcl6	MA0463.1	C_Bcl6	31876	0.27718	3138	0.27898	3293	-0.01612	8.57201E-51
E2F6_MA0471.1	E2F6	MA0471.1	C_E2F6	39644	0.41557	8006	0.41136	8084	0.01992	1.04090E-59
SPDEF_MA0686.1	SPDEF	MA0686.1	C_SPDEF	9409	0.48571	2233	0.48515	2292	-0.01439	4.42952E-22
SP3_MA0746.1	SP3	MA0746.1	C_SP3	51339	0.54092	14660	0.53677	14662	-0.01296	6.35847E-51
HOXB3_MA0903.1	HOXB3	MA0903.1	C_HOXB3	10036	0.23916	698	0.23638	675	0.05173	4.70824E-72
SREBF2var.2_MA0828.1	SREBF2(var.2)	MA0828.1	C_USF2	6488	0.45024	1438	0.45311	1431	-0.04012	3.86599E-56
Pax6_MA0069.1	Pax6	MA0069.1	C_Pax6	7961	0.27538	775	0.27774	814	-0.02189	3.65048E-37
NR4A2RXRA_MA1147.1	NR4A2::RXRA	MA1147.1	C_NR1A4::RXRA	7447	0.30856	857	0.31034	905	-0.02407	9.77206E-40
ZNF282_MA1154.1	ZNF282	MA1154.1	C_ZNF282	17308	0.29549	1898	0.29596	1941	0.00159	2.09654E-02
HOXC11_MA0651.1	HOXC11	MA0651.1	C_HOXC10	6140	0.24029	441	0.23959	447	0.01145	2.03739E-15
SOX21_MA0866.1	SOX21	MA0866.1	C_SOX4	14103	0.2427	1020	0.24194	1017	0.01082	1.94476E-27
FOXP3_MA0850.1	FOXP3	MA0850.1	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
EGR1_MA0162.3	EGR1	MA0162.3	C_EGR3	12150	0.59191	3991	0.57729	3910	0.05736	5.44197E-80
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	22648	0.22221	1412	0.22122	1447	0.0155	3.48399E-41
POU3F2_MA0787.1	POU3F2	MA0787.1	C_POU1F1	14833	0.22876	961	0.22946	984	-0.00086	3.29531E-01
MITF_MA0620.2	MITF	MA0620.2	C_USF2	8665	0.39533	1577	0.40274	1605	-0.08848	3.40140E-92
POU4F1_MA0790.1	POU4F1	MA0790.1	C_POU4F2	14233	0.19284	629	0.1909	638	0.04174	2.72523E-70
DMRT3_MA0610.1	DMRT3	MA0610.1	C_DMRT3	8640	0.22318	513	0.22377	523	-0.00671	1.23240E-10
ONECUT2_MA0756.1	ONECUT2	MA0756.1	C_ONECUT3	8267	0.19627	373	0.19392	371	0.03911	3.72342E-62
FOXD1_MA0031.1	FOXD1	MA0031.1	C_FOXP3	14382	0.24984	1143	0.25016	1172	0.00331	9.33893E-04
Phox2b_MA0681.1	Phox2b	MA0681.1	C_PHOX2A	9950	0.2146	561	0.21022	545	0.06901	4.03802E-84
SOX4_MA0867.1	SOX4	MA0867.1	C_SOX4	17691	0.24755	1360	0.2477	1403	0.00443	1.12215E-08
FOXL1_MA0033.2	FOXL1	MA0033.2	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
MNT_MA0825.1	MNT	MA0825.1	C_MNT	7558	0.42838	1569	0.43105	1573	-0.0458	7.94793E-64
NFAT5_MA0606.1	NFAT5	MA0606.1	C_NFAT5	32296	0.27127	3188	0.27641	3393	-0.04618	4.51140E-92
EGR2_MA0472.2	EGR2	MA0472.2	C_EGR3	13132	0.55784	3970	0.54724	3937	0.02682	1.00652E-52
Rarg_MA0859.1	Rarg	MA0859.1	C_Rarb	15199	0.26183	1343	0.26266	1386	-0.01533	4.30974E-33
ELF3_MA0640.1	ELF3	MA0640.1	C_ELF1	19532	0.43353	3915	0.43697	4023	-0.06529	2.81121E-94
MSC_MA0665.1	MSC	MA0665.1	C_MSC	22444	0.29929	2632	0.29816	2635	0.02003	2.55862E-53
FOXG1_MA0613.1	FOXG1	MA0613.1	C_FOXP3	17121	0.24893	1362	0.24982	1407	-0.0048	4.53175E-07
ESX1_MA0644.1	ESX1	MA0644.1	C_GSX2	7519	0.25171	558	0.2461	542	0.07347	6.23729E-85
SP4_MA0685.1	SP4	MA0685.1	C_SP4	34500	0.67731	12768	0.67046	12816	-0.00801	3.14371E-26
STAT3_MA0144.2	STAT3	MA0144.2	C_Stat4	36492	0.30551	4403	0.30579	4507	-0.00017	8.30534E-01
Arid3b_MA0601.1	Arid3b	MA0601.1	C_Arid3b	13008	0.18905	533	0.18523	492	0.06296	9.43519E-90
MXI1_MA1108.1	MXI1	MA1108.1	C_MNT	7810	0.44402	1721	0.44502	1732	-0.03472	2.57634E-51
ELK1_MA0028.2	ELK1	MA0028.2	C_ETV4	12988	0.64788	4490	0.64384	4523	-0.01859	2.39048E-31
ID4_MA0824.1	ID4	MA0824.1	C_SNAI2	12711	0.27655	1210	0.27311	1225	0.02988	2.44980E-58
Stat4_MA0518.1	Stat4	MA0518.1	C_Stat4	33452	0.29603	3774	0.29582	3871	0.00469	3.38452E-12
Arx_MA0874.1	Arx	MA0874.1	C_Alx1	5954	0.23542	391	0.22947	367	0.08183	5.35105E-78
NHLH1_MA0048.2	NHLH1	MA0048.2	C_Myod1	21667	0.3593	3507	0.35642	3515	0.02762	1.24644E-62
EVX2_MA0888.1	EVX2	MA0888.1	C_HOXA2	5951	0.24788	471	0.24354	454	0.06757	2.31910E-76
UNCX_MA0721.1	UNCX	MA0721.1	C_GSX2	6293	0.22366	378	0.21774	357	0.07638	2.39992E-82
ZSCAN4_MA1155.1	ZSCAN4	MA1155.1	C_ZSCAN4	28808	0.26241	2404	0.26402	2503	-0.02676	2.25192E-67
MEF2D_MA0773.1	MEF2D	MA0773.1	C_MEF2C	17817	0.24056	1326	0.24666	1420	-0.06151	6.34058E-94
RORB_MA1150.1	RORB	MA1150.1	C_RORA	12780	0.27784	1279	0.27984	1341	-0.01392	6.64698E-27
MSX2_MA0708.1	MSX2	MA0708.1	C_Dlx3	7785	0.27446	700	0.27102	674	0.03857	9.15975E-58
POU6F1_MA0628.1	POU6F1	MA0628.1	C_HOXB3	5291	0.20314	236	0.19773	234	0.09182	1.16402E-84
XBP1_MA0844.1	XBP1	MA0844.1	C_XBP1	6137	0.43467	1239	0.43345	1240	-0.01175	1.80511E-16
USF1_MA0093.2	USF1	MA0093.2	C_USF2	15077	0.38162	2593	0.38645	2624	-0.06293	2.41149E-89
TFEB_MA0692.1	TFEB	MA0692.1	C_USF2	10954	0.40983	2107	0.41486	2116	-0.06461	2.35964E-83
FOXO6_MA0849.1	FOXO6	MA0849.1	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
HOXD12_MA0873.1	HOXD12	MA0873.1	C_HOXC10	5563	0.24768	429	0.24683	434	0.01514	1.74471E-16
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	33023	0.20458	1662	0.20166	1640	0.04656	1.68184E-90
BHLHE23_MA0817.1	BHLHE23	MA0817.1	C_Atoh1	5317	0.21645	296	0.21549	305	0.00979	2.94498E-11
HOXA2_MA0900.1	HOXA2	MA0900.1	C_HOXA2	6228	0.25728	528	0.25217	503	0.06343	1.40184E-71
BCL6B_MA0731.1	BCL6B	MA0731.1	C_BCL6B	18330	0.27992	1849	0.28038	1888	-0.00621	2.25790E-15
Pou2f3_MA0627.1	Pou2f3	MA0627.1	C_POU1F1	13772	0.23855	982	0.2392	997	-0.00658	2.17610E-10
LIN54_MA0619.1	LIN54	MA0619.1	C_LIN54	18035	0.21881	1100	0.21763	1124	0.01616	1.12176E-34
ZNF263_MA0528.1	ZNF263	MA0528.1	C_ZNF263	105055	0.32984	14280	0.32952	14456	-0.0099	1.93762E-54
CUX1_MA0754.1	CUX1	MA0754.1	C_CUX2	2675	0.21541	147	0.21175	154	0.05632	1.80015E-49
NR3C1_MA0113.3	NR3C1	MA0113.3	C_NR3C1	8529	0.26951	747	0.27311	802	-0.04048	1.05650E-56
MZF1var.2_MA0057.1	MZF1(var.2)	MA0057.1	C_MZF1(var.2)	23379	0.33997	3342	0.33878	3372	0.0088	9.11637E-22
CEBPG_MA0838.1	CEBPG	MA0838.1	C_CEBPE	4536	0.35026	682	0.35637	721	-0.07528	8.25435E-76
POU3F3_MA0788.1	POU3F3	MA0788.1	C_POU1F1	15954	0.21661	919	0.21651	950	0.01006	8.34386E-21
SPIC_MA0687.1	SPIC	MA0687.1	C_SPI1	32252	0.27574	3029	0.28235	3154	-0.08657	2.80469E-122
Six3_MA0631.1	Six3	MA0631.1	C_Six3	6115	0.23222	410	0.23309	418	-0.00276	2.53971E-03
ZNF143_MA0088.2	ZNF143	MA0088.2	C_ZNF143	16099	0.36447	2425	0.36581	2479	-0.0246	7.85176E-51
MZF1_MA0056.1	MZF1	MA0056.1	C_MZF1	74036	0.30879	9033	0.30888	9191	-0.0062	1.01337E-34
DUX4_MA0468.1	DUX4	MA0468.1	C_DUXA	13275	0.24981	1047	0.24905	1034	0.0249	1.00226E-49
Hes1_MA1099.1	Hes1	MA1099.1	C_HEY1	6884	0.59899	2325	0.58346	2280	0.07211	3.90320E-80
SRF_MA0083.3	SRF	MA0083.3	C_SRF	5833	0.29232	626	0.29451	644	-0.03989	7.21973E-54
Npas2_MA0626.1	Npas2	MA0626.1	C_MNT	6796	0.37783	1175	0.37958	1204	-0.03629	1.12803E-51
SREBF2_MA0596.1	SREBF2	MA0596.1	C_SREBF1	14540	0.31423	1739	0.31697	1824	-0.03664	1.82056E-67
FEV_MA0156.2	FEV	MA0156.2	C_ETV4	14101	0.55305	3968	0.55242	4052	-0.03741	1.82866E-64
Gmeb1_MA0615.1	Gmeb1	MA0615.1	C_Gmeb1	2231	0.48964	537	0.48599	531	-0.01394	6.06217E-09
Mlxip_MA0622.1	Mlxip	MA0622.1	C_MNT	8961	0.42071	1816	0.4231	1833	-0.04899	2.63911E-65
TBX19_MA0804.1	TBX19	MA0804.1	C_TBX19	6264	0.25264	522	0.25637	547	-0.04671	8.08535E-60
ATF4_MA0833.1	ATF4	MA0833.1	C_ATF4	10610	0.33906	1487	0.34202	1535	-0.0479	1.65757E-66
FOSL2JUNvar.2_MA1131.1	FOSL2::JUN(var.2)	MA1131.1	C_FOSL2::JUND(var.2)	14229	0.43314	2923	0.43617	3012	-0.0415	6.72039E-71
ELK4_MA0076.2	ELK4	MA0076.2	C_ETV4	25293	0.53343	6794	0.53427	6951	-0.05152	4.55001E-91
LHX9_MA0701.1	LHX9	MA0701.1	C_GSX2	7460	0.25175	560	0.24584	535	0.06959	5.37328E-77
EOMES_MA0800.1	EOMES	MA0800.1	C_TBX21	12578	0.25669	1081	0.26035	1158	-0.04616	1.12526E-71
ETV4_MA0764.1	ETV4	MA0764.1	C_ETV4	11770	0.60407	3722	0.60211	3785	-0.03383	1.40782E-60
ETV3_MA0763.1	ETV3	MA0763.1	C_ETV4	12295	0.55226	3443	0.54978	3497	-0.0248	1.04688E-50
Dlx2_MA0885.1	Dlx2	MA0885.1	C_Dlx2	6922	0.22913	454	0.22639	462	0.04727	1.36026E-61
TFAP2C_MA0524.2	TFAP2C	MA0524.2	C_TFAP2A(var.2)	14935	0.41048	2874	0.40777	2864	0.007	1.84446E-12
FOSJUND_MA1141.1	FOS::JUND	MA1141.1	C_FOSL1::JUN	32915	0.38206	5948	0.40221	6542	-0.16886	1.54789E-148
PRRX1_MA0716.1	PRRX1	MA0716.1	C_GSX2	8082	0.24055	549	0.23448	528	0.07851	1.69682E-91
POU2F1_MA0785.1	POU2F1	MA0785.1	C_POU1F1	13978	0.22984	916	0.23064	947	-0.00208	1.72663E-03
Stat6_MA0520.1	Stat6	MA0520.1	C_Stat6	24888	0.25906	2151	0.2593	2248	0.00336	9.26710E-06
MAFF_MA0495.2	MAFF	MA0495.2	C_MAFF	18836	0.28286	1915	0.28933	2064	-0.06822	6.67334E-106
RUNX3_MA0684.1	RUNX3	MA0684.1	C_RUNX1	14104	0.28413	1454	0.28845	1504	-0.05971	9.07250E-88
TAL1TCF3_MA0091.1	TAL1::TCF3	MA0091.1	C_TAL1::TCF3	17317	0.28372	1783	0.27957	1767	0.05607	5.22932E-89
HOXA5_MA0158.1	HOXA5	MA0158.1	C_HOXA5	9397	0.24621	685	0.24418	701	0.02575	3.43203E-39
IRF5_MA1420.1	IRF5	MA1420.1	C_IRF5	10881	0.3066	1265	0.3042	1256	0.01113	2.31914E-21
Klf1_MA0493.1	Klf1	MA0493.1	C_KLF5	36847	0.47415	8550	0.47897	8847	-0.08127	9.17840E-121
ISL2_MA0914.1	ISL2	MA0914.1	C_ISL2	9955	0.25748	824	0.25776	851	-0.00301	1.87366E-03
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	22806	0.35768	3582	0.35603	3600	0.00684	2.98059E-15
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	9553	0.29145	1026	0.29125	1040	-0.00563	7.64832E-06
Barhl1_MA0877.1	Barhl1	MA0877.1	C_Nkx2-5	8732	0.26126	728	0.25947	705	0.02076	7.91250E-37
Klf12_MA0742.1	Klf12	MA0742.1	C_Klf12	24062	0.58955	7477	0.5899	7597	-0.05675	8.69199E-93
PAX4_MA0068.2	PAX4	MA0068.2	C_PAX4	4793	0.23745	325	0.23483	324	0.04411	2.47315E-50
Creb5_MA0840.1	Creb5	MA0840.1	C_FOSL2::JUND(var.2)	11533	0.4467	2479	0.44913	2534	-0.03441	1.00382E-62
Hoxa11_MA0911.1	Hoxa11	MA0911.1	C_HOXC10	6235	0.23988	446	0.23952	452	0.01008	1.19294E-09
MGA_MA0801.1	MGA	MA0801.1	C_TBX1	14489	0.30353	1633	0.30938	1733	-0.06063	2.34091E-89
Hoxd9_MA0913.1	Hoxd9	MA0913.1	C_HOXA10	15951	0.21211	866	0.20907	860	0.03644	3.07637E-68
POU1F1_MA0784.1	POU1F1	MA0784.1	C_POU1F1	15600	0.22769	998	0.22765	1005	0.00878	2.16398E-19
USF2_MA0526.2	USF2	MA0526.2	C_USF2	11335	0.44244	2432	0.44565	2437	-0.05525	1.30468E-78
TGIF2_MA0797.1	TGIF2	MA0797.1	C_PKNOX2	13677	0.27995	1348	0.28437	1417	-0.03511	8.39947E-66
AhrArnt_MA0006.1	Ahr::Arnt	MA0006.1	C_Ahr::Arnt	19358	0.39562	3498	0.39464	3556	-0.01438	3.67554E-39
KLF4_MA0039.3	KLF4	MA0039.3	C_KLF9	25289	0.36725	3913	0.37496	4081	-0.08949	1.89552E-113
FOXO4_MA0848.1	FOXO4	MA0848.1	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
HLF_MA0043.2	HLF	MA0043.2	C_DBP	7057	0.3181	904	0.32061	918	-0.01873	1.98013E-32
Esrra_MA0592.2	Esrra	MA0592.2	C_Esrrg	14574	0.25493	1223	0.25701	1251	-0.02662	4.98536E-52
HSF2_MA0770.1	HSF2	MA0770.1	C_HSF2	18074	0.27256	1730	0.27336	1763	-0.01079	1.14366E-27
TBP_MA0108.2	TBP	MA0108.2	C_TBP	9764	0.26308	876	0.26492	920	-0.03979	5.65992E-65
Tcfl5_MA0632.1	Tcfl5	MA0632.1	C_Tcfl5	3807	0.57813	1217	0.56571	1200	0.05685	6.27717E-55
PPARARXRA_MA1148.1	PPARA::RXRA	MA1148.1	C_PPARA::RXRA	17366	0.26924	1603	0.27063	1637	-0.01655	5.48882E-39
HOXC10_MA0905.1	HOXC10	MA0905.1	C_HOXC10	7850	0.23127	522	0.22997	518	0.02624	8.64127E-47
SCRT2_MA0744.1	SCRT2	MA0744.1	C_SCRT1	11697	0.29223	1278	0.29266	1309	0.00048	6.66036E-01
FOSL2JUND_MA1144.1	FOSL2::JUND	MA1144.1	C_FOSL1::JUN	28967	0.37939	5207	0.39908	5730	-0.16633	5.84080E-148
RAX_MA0718.1	RAX	MA0718.1	C_GSX2	7796	0.24488	566	0.23919	536	0.07141	3.85309E-84
Pitx1_MA0682.1	Pitx1	MA0682.1	C_OTX1	8582	0.25681	722	0.25598	745	0.01579	2.00582E-32
Hmx2_MA0897.1	Hmx2	MA0897.1	C_Hmx3	11539	0.22628	708	0.22492	718	0.03308	6.82617E-57
MTF1_MA0863.1	MTF1	MA0863.1	C_MTF1	10770	0.34798	1632	0.34908	1667	-0.02405	2.88189E-43
IRF4_MA1419.1	IRF4	MA1419.1	C_IRF1	12657	0.29839	1388	0.29627	1413	0.01159	5.49764E-20
E2F3_MA0469.2	E2F3	MA0469.2	C_E2F2	3466	0.33757	504	0.33451	504	0.03401	1.07082E-35
TBX15_MA0803.1	TBX15	MA0803.1	C_TBX1	12100	0.29519	1309	0.30007	1379	-0.05807	3.16443E-79
SOX15_MA1152.1	SOX15	MA1152.1	C_SOX15	25804	0.22527	1655	0.22022	1612	0.07782	1.28184E-109
ZNF410_MA0752.1	ZNF410	MA0752.1	C_ZNF410	8882	0.26199	792	0.26276	819	-0.00524	7.00274E-05
E2F4_MA0470.1	E2F4	MA0470.1	C_E2F6	16760	0.60246	5729	0.58431	5574	0.11696	6.40567E-117
Rxra_MA0512.2	Rxra	MA0512.2	C_Nr2f6	15980	0.27236	1524	0.27306	1532	-0.01409	6.18911E-31
ZBTB7A_MA0750.2	ZBTB7A	MA0750.2	C_ETV4	26428	0.53793	7276	0.53657	7355	-0.02709	1.68035E-66
Rhox11_MA0629.1	Rhox11	MA0629.1	C_Rhox11	10436	0.27001	967	0.26909	989	0.01611	4.03815E-26
GSX1_MA0892.1	GSX1	MA0892.1	C_GSX2	9607	0.23339	595	0.22988	593	0.04981	2.50178E-68
Nr2e1_MA0676.1	Nr2e1	MA0676.1	C_Nr2e1	20600	0.23791	1473	0.23934	1513	-0.00982	1.49102E-24
RHOXF1_MA0719.1	RHOXF1	MA0719.1	C_RHOXF1	7720	0.24538	602	0.24211	592	0.04438	4.96508E-62
Lhx4_MA0704.1	Lhx4	MA0704.1	C_HOXB3	5876	0.20093	274	0.19467	266	0.09486	4.89454E-86
HMBOX1_MA0895.1	HMBOX1	MA0895.1	C_HMBOX1	7195	0.27343	659	0.2727	662	0.00178	4.82435E-01
VENTX_MA0724.1	VENTX	MA0724.1	C_VENTX	5969	0.26345	514	0.26108	508	0.0321	8.62152E-47
RFX4_MA0799.1	RFX4	MA0799.1	C_RFX2	11257	0.38944	2032	0.39548	2110	-0.08018	4.02480E-101
CLOCK_MA0819.1	CLOCK	MA0819.1	C_CLOCK	6358	0.31284	787	0.31421	807	-0.01895	1.31203E-31
SNAI2_MA0745.1	SNAI2	MA0745.1	C_SNAI2	13492	0.28747	1459	0.28287	1413	0.04771	1.92503E-71
FOSBJUNBvar.2_MA1136.1	FOSB::JUNB(var.2)	MA1136.1	C_FOSL2::JUND(var.2)	9767	0.45312	2138	0.45701	2194	-0.04569	6.91882E-72
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	13533	0.36219	2250	0.36083	2238	-0.00692	6.68006E-12
Foxa2_MA0047.2	Foxa2	MA0047.2	C_FOXC2	25088	0.25068	2042	0.25168	2119	-0.00896	2.53414E-22
Tcf12_MA0521.1	Tcf12	MA0521.1	C_Myod1	34533	0.34253	5153	0.34169	5200	0.01207	1.65047E-36
NR2F2_MA1111.1	NR2F2	MA1111.1	C_NR2F2	17326	0.24926	1351	0.25262	1416	-0.04505	1.06093E-82
RAX2_MA0717.1	RAX2	MA0717.1	C_GSX2	6526	0.25248	487	0.24653	465	0.07089	3.12545E-80
BHLHE41_MA0636.1	BHLHE41	MA0636.1	C_USF2	5305	0.49809	1349	0.49973	1359	-0.03751	6.49057E-46
FOSL1JUNvar.2_MA1129.1	FOSL1::JUN(var.2)	MA1129.1	C_FOSL2::JUND(var.2)	8718	0.45926	1937	0.46245	1992	-0.04362	1.24096E-62
MYF6_MA0667.1	MYF6	MA0667.1	C_Tcf21	14101	0.27766	1381	0.2757	1396	0.02445	8.62203E-49
PKNOX1_MA0782.1	PKNOX1	MA0782.1	C_PKNOX2	14379	0.27561	1368	0.27972	1436	-0.02937	4.72336E-63
RELA_MA0107.1	RELA	MA0107.1	C_RELA	23016	0.3745	4023	0.37501	4120	0.00239	2.04326E-07
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIC::TLX1	21117	0.36178	3451	0.36824	3576	-0.0584	9.31705E-94
FIGLA_MA0820.1	FIGLA	MA0820.1	C_FIGLA	12710	0.27951	1259	0.27654	1246	0.03134	2.62691E-58
MLX_MA0663.1	MLX	MA0663.1	C_USF2	6037	0.46228	1393	0.46446	1392	-0.04702	5.21682E-58
ETV2_MA0762.1	ETV2	MA0762.1	C_ETV4	20272	0.40615	3697	0.411	3840	-0.06984	1.64085E-101
RUNX2_MA0511.2	RUNX2	MA0511.2	C_RUNX1	11629	0.29631	1284	0.30002	1333	-0.05218	3.99136E-74
Nr5a2_MA0505.1	Nr5a2	MA0505.1	C_Nr5a2	25961	0.28802	2828	0.28937	2852	-0.0175	8.26721E-45
HLTF_MA0109.1	HLTF	MA0109.1	C_HLTF	10102	0.21793	597	0.21789	613	0.00747	3.32012E-09
Shox2_MA0720.1	Shox2	MA0720.1	C_GSX2	6526	0.25248	487	0.24653	465	0.07089	3.12545E-80
Nkx2-5var.2_MA0503.1	Nkx2-5(var.2)	MA0503.1	C_Nkx2-5(var.2)	21805	0.31341	2593	0.31682	2718	-0.04217	2.01197E-80
JUNB_MA0490.1	JUNB	MA0490.1	C_FOSL1::JUN	34124	0.3756	6041	0.39576	6662	-0.1718	9.38947E-156
